id, question, answer
1, 一, one - 1 - first 
2, 二, two - 2 - second 
3, 三, three - 3 - third 
4, 四, four - 4 - forth 
5, 五, five - 5 - fifth 
6, 六, six - 6 - sixth 
7, 七, seven - 7 - seventh 
8, 八, eight - 8 - eighth 
9, 九, nine - 9 - ninth 
10, 十, ten - 10 - tenth 
11, 百, hundred - 100 
12, 千, thousand - 1000 
13, 万, ten thousand
14, 父, father - dad 
15, 母, mother - mom 
16, 友, friend
17, 女, woman - female 
18, 男, man - male 
19, 人, person - people - man 
20, 子, child - children - kid 
21, 日, sun - day 
22, 月, month - moon 
23, 火, fire - light 
24, 水, water
25, 木, tree - wood 
26, 金, gold - money 
27, 土, earth - ground - soil 
28, 本, book - counter for long/slender objects
29, 休, vacation - rest 
30, 語, word - language - speech 
31, 年, year
32, 午, noon
33, 前, before - in front of - previous 
34, 後, behind - after 
35, 時, time
36, 間, interval - space - room 
37, 毎, every
38, 先, previous - ahead 
39, 今, now - present 
40, 何, what - how many 
41, 上, top - above - up 
42, 下, under - bottom - down 
43, 左, left
44, 右, right
45, 東, east
46, 西, west
47, 南, south
48, 北, north
49, 外, outside - foreign - other 
50, 名, name - famous - fame 
51, 高, high - expensive - tall 
52, 小, small - little 
53, 中, middle - inside - center 
54, 大, big - large - great 
55, 長, leader - long 
56, 半, half
57, 分, understand - share - part 
58, 学, learning - learn - science 
59, 校, school
60, 生, live - birth - life 
61, 山, mountain
62, 川, river - stream 
63, 白, white
64, 天, heaven - sky 
65, 雨, rain
66, 電, electricity - electric - power 
67, 気, spirit - energy - power 
68, 車, car - vehicle - automobile 
69, 国, country - nation 
70, 円, circle - yen - money 
71, 話, talk - topic - story 
72, 聞, hear - listen - ask 
73, 食, eat - meal - food 
74, 読, read
75, 来, come
76, 書, book - document - papers 
77, 見, see - show 
78, 行, go - leave 
79, 出, leave - go out 
80, 入, enter - insert - go in 
81, 会, meeting - meet 
82, 青, blue
83, 赤, red
84, 明, light - bright - dawn 
85, 秋, fall - autumn 
86, 空, sky - air - empty 
87, 開, open
88, 悪, bad - evil 
89, 朝, morning
90, 字, letter - character - mark 
91, 足, foot - feet - sufficient 
92, 味, taste - experience 
93, 新, textframe - fresh 
94, 集, collect - gather 
95, 兄, brother - older brother 
96, 姉, sister - older sister 
97, 歩, walk - step 
98, 有, have - exist - be 
99, 安, cheap - peaceful - safe 
100, 医, heal - - cure 
101, 意, mind - heart - attention 
102, 以, more - through - on account 
103, 言, speech - statement - word 
104, 家, house
105, 急, hurry - quick 
106, 犬, dog
107, 妹, sister - younger sister 
108, 色, color
109, 音, sound
110, 員, member - official 
111, 院, institution - academy 
112, 飲, drink
113, 魚, fish
114, 動, move
115, 牛, cow - bull 
116, 歌, song - sing 
117, 写, copy - take a photo 
118, 映, reflect - project 
119, 海, sea - ocean 
120, 売, sale - sell 
121, 運, luck - carry - move 
122, 重, heavy - important - stress 
123, 英, england - english - grand 
124, 駅, station - (train) station 
125, 終, end - finish - last 
126, 多, many - much - frequent 
127, 起, wake - get up - rise 
128, 屋, roof - house - shop 
129, 送, send
130, 教, teach - education - faith 
131, 弟, brother - younger brother 
132, 同, same - agree - equal 
133, 主, lord - master - principal 
134, 思, think - thought 
135, 親, parent - relative - familiar 
136, 花, flower
137, 夏, summer
138, 画, picture - stroke - stroke of kanji 
139, 界, world
140, 買, buy
141, 帰, return - arrive - come home 
142, 代, generation - substitute - exchange 
143, 楽, music - comfort - ease 
144, 風, wind - air - style 
145, 貸, lend
146, 方, direction - way - person 
147, 紙, paper
148, 通, avenue - traffic - go through 
149, 体, body - object 
150, 借, borrow - rent 
151, 漢, china - chinese 
152, 館, building - palace 
153, 元, beginning - origin 
154, 考, think - consider - thought 
155, 着, wear - wear clothes - arrive 
156, 究, research - study 
157, 去, past - gone - leave 
158, 京, capital
159, 強, strong - force 
160, 業, business - vocation - job 
161, 切, cut - cut off - slice 
162, 近, near - early - soon 
163, 銀, silver
164, 口, mouth
165, 工, construction - craft 
166, 黒, black
167, 計, plan - measure 
168, 研, study - sharpen 
169, 建, build
170, 験, test - examine - effect 
171, 古, old - old fashioned 
172, 広, wide - broad - big 
173, 心, heart - mind 
174, 試, test - try - experiment 
175, 答, solution - answer 
176, 事, thing - matter - business 
177, 転, revolve - turn - turn around 
178, 作, make - produce - prepare 
179, 茶, tea
180, 早, fast - quick - early 
181, 止, stop
182, 自, oneself - I - self 
183, 仕, official - serve - attend 
184, 死, death - die - dead 
185, 始, begin - beginning - start 
186, 使, use
187, 私, I - me - private 
188, 地, ground - land - earth 
189, 持, have - hold - carry 
190, 質, quality - matter - substance 
191, 室, room - chamber 
192, 品, goods - article - dignity 
193, 社, company - firm - office 
194, 者, someone - person 
